"hour","member_casual","count"
0,"casual","48073"
0,"member","27321"
1,"casual","34537"
1,"member","17724"
2,"casual","22031"
2,"member","10098"
3,"casual","12220"
3,"member","5786"
4,"casual","8688"
4,"member","6953"
5,"casual","10751"
5,"member","26032"
6,"casual","22738"
6,"member","74432"
7,"casual","40445"
7,"member","132574"
8,"casual","55806"
8,"member","148382"
9,"casual","68027"
9,"member","114867"
10,"casual","95128"
10,"member","115581"
11,"casual","125240"
11,"member","141071"
12,"casual","151806"
12,"member","165276"
13,"casual","162956"
13,"member","162693"
14,"casual","168846"
14,"member","161586"
15,"casual","177558"
15,"member","183315"
16,"casual","193541"
16,"member","233641"
17,"casual","222117"
17,"member","289943"
18,"casual","199236"
18,"member","246547"
19,"casual","153987"
19,"member","175255"
20,"casual","113359"
20,"member","116251"
21,"casual","94634"
21,"member","83215"
22,"casual","87564"
22,"member","63185"
23,"casual","67244"
23,"member","43533"
