"year","month","member_casual","round"
2020,"October  ","casual","30.68"
2020,"October  ","member","14.24"
2020,"November ","casual","32.13"
2020,"November ","member","13.74"
2020,"December ","casual","27.06"
2020,"December ","member","12.87"
2021,"January  ","casual","25.95"
2021,"January  ","member","13.00"
2021,"February ","casual","49.83"
2021,"February ","member","18.26"
2021,"March    ","casual","38.42"
2021,"March    ","member","14.11"
2021,"April    ","casual","38.32"
2021,"April    ","member","14.86"
2021,"May      ","member","14.82"
2021,"May      ","casual","38.59"
2021,"June     ","casual","37.50"
2021,"June     ","member","14.85"
2021,"July     ","member","14.41"
2021,"July     ","casual","33.09"
2021,"August   ","casual","29.03"
2021,"August   ","member","14.26"
2021,"September","member","13.89"
2021,"September","casual","28.05"
