"year","month","member_casual","count"
2020,"October  ","casual","142561"
2020,"October  ","member","239095"
2020,"November ","casual","87080"
2020,"November ","member","169177"
2020,"December ","casual","29774"
2020,"December ","member","100254"
2021,"January  ","casual","17939"
2021,"January  ","member","77986"
2021,"February ","casual","10041"
2021,"February ","member","38988"
2021,"March    ","casual","83475"
2021,"March    ","member","143112"
2021,"April    ","casual","135567"
2021,"April    ","member","198452"
2021,"May      ","member","271446"
2021,"May      ","casual","254602"
2021,"June     ","casual","367002"
2021,"June     ","member","354831"
2021,"July     ","member","376123"
2021,"July     ","casual","438208"
2021,"August   ","casual","409341"
2021,"August   ","member","387615"
2021,"September","member","388182"
2021,"September","casual","360942"
